"#";"PRODUIT / LIBELLE";"EAN";"VALEUR EN STOCK UNITAIRE (HT) ";"QUANTITE";"TOTAL (HT)"
"1";"AMANDES GRILLEES/SEC,BENEN,105G";"3168930010784";"1,647100";"6,000000";"9,882600000000"
"2";"FARINE BIO,COEUR DE BLE,1Kg";"3483050001918";"1,160000";"1,000000";"1,160000000000"
"3";"FARINE DE BLE T 55,ECO+,1KG";"3450970120302";"0,363000";"1,000000";"0,363000000000"
"4";"FECULE POMME TERRE, TIPIAK,250G";"3165440001707";"0,485300";"1,000000";"0,485300000000"
"5";"RECETTE POIS CHICHES,BELIN,100G";"7622210771698";"1,343800";"1,000000";"1,343800000000"
"6";"SABLE MIEL DATTE,GERBLE,132G";"3175681121232";"1,173800";"2,000000";"2,347600000000"
"7";"TABLET.AIL/PERSIL,KNORR,    90G";"3011360001252";"1,040700";"1,000000";"1,040700000000"
"8";"TARTI SARRASIN S/GLUTEN,GE,350G";"3175681140080";"2,115900";"1,000000";"2,115900000000"
"9";"TARTINE MALINE NATURE,JACQ,400G";"3029330003649";"0,819200";"1,000000";"0,819200000000"
"10";"TUILES GOUT BACON,TOKAPI,170G";"3564700542767";"0,755200";"2,000000";"1,510400000000"
"11";"VELOUTE POTIRON CREME,KNOR,50CL";"8710908962080";"1,189400";"1,000000";"1,189400000000"
"12";"*TOMATE CERISE ECO+BARQ.250G MA";"3450970159265";"0,633200";"5,000000";"3,166000000000"
"13";".4 ENDIVE SPECI.A BRAISER FRANC";"3760095951126";"0,800000";"1,000000";"0,800000000000"
"14";".5 ENDIVES PERLE DU NORDF";"3760095954103";"1,450000";"5,000000";"7,250000000000"
"15";".ASPERGE VERTE 400G CAL12/16 PE";"8435077500054";"2,750000";"1,000000";"2,750000000000"
"16";".CARMINE BARQ 300 GR FRANCE";"3760107621009";"2,300000";"2,000000";"4,600000000000"
"17";".CHAMP.BLC PETIT APERO 125G FRA";"3700552800000";"1,200000";"1,000000";"1,200000000000"
"18";".CHAMPIGNON BLC EMINCE 200GR FR";"3700552800512";"1,200000";"1,000000";"1,200000000000"
"19";".CITRON JNE BIO 1KG 5/6 ESP.PUB";"3661030112933";"1,820000";"2,000000";"3,640000000000"
"20";".CLEMENVILLA 2KG 2/3 ESPAGNE";"3661030123205";"1,700000";"2,000000";"3,400000000000"
"21";".COEUR DE SUCRINE ROUGE 3T ESPA";"8412276025045";"0,850000";"1,000000";"0,850000000000"
"22";".ECHALOTE LONGUE BIO 250G FRANC";"3306540101366";"1,750000";"1,000000";"1,750000000000"
"23";".ENDIVE JEUNE POUSSE PDN 6FR FR";"3760095951133";"1,500000";"1,000000";"1,500000000000"
"24";".FRAISE RONDE 250GR Q-MAROC";"3760025960730";"1,300000";"4,000000";"5,200000000000"
"25";".LIME FILET 500GR CAL54/63 BRES";"3760203040070";"1,750000";"1,000000";"1,750000000000"
"26";".MYRTILLE BARQ 125GR PEROU";"3760105314569";"1,300900";"2,000000";"2,601800000000"
"27";".OIGNON RGE 40/60 BIO 500GR HOL";"3306540001222";"1,700000";"1,000000";"1,700000000000"
"28";".ORANGE NAVELINE 2KG CAL 5/6 ES";"8400035008873";"1,280000";"5,000000";"6,400000000000"
"29";".POIRE BIOVILLAGE GUYOT X4 FRAN";"3564707124133";"1,612200";"1,000000";"1,612200000000"
"30";".POIVRON BIOVILLAGE X2 BQ ESPAG";"3564707118637";"1,279300";"1,000000";"1,279300000000"
"31";"4 OIGNON JAUNE 4FRT,,500G";"3306540009648";"1,000000";"1,000000";"1,000000000000"
"32";"AIL ROSE 2 TETES 60/70,CON,150G";"3306540010545";"1,650000";"1,000000";"1,650000000000"
"33";"ECHALOTE TRAD LONG P.DENIS,700G";"3306540007804";"2,350000";"1,000000";"2,350000000000"
"34";"FRUITS,1Kg";"0203998000000";"1,500000";"58,400000";"87,600000000000"
"35";"LEGUMES,1Kg";"0203999000000";"1,500000";"97,100000";"145,650000000000"
"36";"OIGNON JAUNE FLT P.DENIS 2KG FR";"3306540003325";"1,850000";"1,000000";"1,850000000000"
"37";"OIGNON JAUNE NAT.50/70ZRP,,800G";"3664636000147";"1,650000";"3,000000";"4,950000000000"
"38";"SAUCIER JAUNE,LE FILET,500G";"3306540010132";"1,000000";"1,000000";"1,000000000000"
"39";"4 DESS.FRUITIER PECHE MCX,400G";"3608580796312";"1,131400";"1,000000";"1,131400000000"
"40";"MELEO JAFADEN,PECHE / ABRICO,1L";"3564700167588";"0,947900";"6,000000";"5,687400000000"
"41";"SIROP FRAISE BIDON,TEISSEI,60CL";"3092718618971";"1,900600";"1,000000";"1,900600000000"
;;;;"Valeur en stock du don (HT)";"329,676600000000"
