#;PRODUIT / LIBELLE;;QUANTITE
1;BRIOCHE ALOUETTE,TRESSEE,1Kg;;1 unité
;EAN : 3284230007023;;
2;CHIPS EASY POULET,BRET'S,6X25G;;10 unités
;EAN : 3497911124159;;
3;CHIPS GRILLADE,POM LISSE,135G;;10 unités
;EAN : 3564706512917;;
4;CRACOTTES FROMENT, ETUI, 500 G;;1 unité
;EAN : 3041090063213;;
5;DRAGIBUS,HARIBO,250G;;1 unité
;EAN : 3103220009826;;
6;GACHE,PASQUIER,400G;;4 unités
;EAN : 3256540002418;;
7;MEGA FETE TAGADA,HARIBO,720G;;3 unités
;EAN : 3103220042762;;
8;TUILES SALES,CRUNCHIPS,135G;;1 unité
;EAN : 4018077705892;;
9;ANGELIQUE CONFITE,M.P.,190G;;12 unités
;EAN : 3502490018086;;
10;BIGARREAU ROUGE,CONFIT,250G;;1 unité
;EAN : 3502490017997;;
11;LAMELLE CITRON,CONFITE,140G;;84 unités
;EAN : 3502490074211;;
12;LAMELLE ORANGE,CONFITE,140G;;1 unité
;EAN : 3502490074204;;
13;PRIX MOYEN FRUITS & LEGUMES,FRU;;95 unités
;EAN : 3478920011111;;
14;TRANCHES ANANAS,CONFITES,200G;;12 unités
;EAN : 3502490018024;;
15;ANANAS CUBE,1Kg,VADIS / FRAICHE;;0,5 unité
;EAN : 0208003000000;;
16;ANANAS FRAISE,1Kg,VADIS / FRAIC;;0,6 unité
;EAN : 0208010000000;;
17;ANANAS PAMPLEMOUSSE,1Kg,VADIS /;;0,6 unité
;EAN : 0208013000000;;
18;BOL 2 FRUITS CLEMENTINE,1Kg,VAD;;0,3 unité
;EAN : 0208026000000;;
19;BOL 2 FRUITS FRAISE/KIWI,1Kg,VA;;0,6 unité
;EAN : 0208059000000;;
20;BOL 2 FRUITS,1Kg;;0,8 unité
;EAN : 0208019000000;;
21;BOL 2 FRUITS,1Kg,VADIS / FRAICH;;0,33 unité
;EAN : 0208016000000;;
22;BOL 2 FRUITS,1Kg,VADIS / FRAICH;;0,37 unité
;EAN : 0208017000000;;
23;CELERI RAVE RAPE,1Kg,VADIS FRAI;;1 unité
;EAN : 0208235000000;;
24;COEUR D'ANANAS CROQUANT,1Kg,VAD;;0,6 unité
;EAN : 0208005000000;;
25;COEUR D'ANANAS EN RONDELLE,1Kg;;0,5 unité
;EAN : 0208006000000;;
26;DUO DE FRUITS CLEMENTINE,1Kg,VA;;0,4 unité
;EAN : 0208047000000;;
27;DUO DE FRUITS PAMPLEMOUSSE,1Kg;;0,5 unité
;EAN : 0208048000000;;
28;DUO DE FRUITS,1Kg;;0,36 unité
;EAN : 0208033000000;;
29;DUO DE FRUITS,1Kg;;0,16 unité
;EAN : 0208034000000;;
30;DUO DE FRUITS,1Kg;;0,19 unité
;EAN : 0208035000000;;
31;DUO DE FRUITS,1Kg;;0,16 unité
;EAN : 0208032000000;;
32;DUO DE FRUITS,1Kg;;0,15 unité
;EAN : 0208036000000;;
33;FRAISE,1Kg,VADIS / FRAICHE DECO;;0,6 unité
;EAN : 0208020000000;;
34;NOIX DE COCO EN MORCEAUX,1Kg;;0,45 unité
;EAN : 0208050000000;;
35;PETITES SALADE DE FRUITS,1Kg;;3 unités
;EAN : 0208031000000;;
36;POUSSE DE SOJA,1Kg,FRAICHE DECO;;0,18 unité
;EAN : 0208256000000;;
37;TARTARE DE FRUITS,1Kg,VADIS / F;;0,27 unité
;EAN : 0208028000000;;
