pnns_groups_2;code_cat
Alcoholic beverages;0
Appetizers;2
Artificially sweetened beverages;0
Biscuits and cakes;2
Bread;5
Breakfast cereals;5
Cereals;5
Cheese;4
Chocolate products;2
Dairy desserts;4
Dressings and sauces;3
Dried fruits;6
Eggs;1
Fats;3
Fish and seafood;1
Fruit juices;0
Fruit nectars;0
fruits;6
Fruits;6
Ice cream;2
Legumes;6
Meat;1
Milk and yogurt;4
Non-sugared beverages;0
Nuts;2
One-dish meals;0
pastries;2
Pizza pies and quiche;0
Potatoes;5
Processed meat;1
Salty and fatty products;2
Sandwich;0
Soups;6
Sweetened beverages;0
Sweets;2
Tripe dishes;1
vegetables;6
Vegetables;6
